Rough_ID,Rough_Weight_ct,Shape,Length_mm,Width_mm,Height_mm,Color,Clarity,Crack_Level,Cut_Type,Final_Weight_ct
R00070,2.82,Pear,8.74,7.67,5.1,H,VVS2,Low,Brilliant,1.18
R00071,4.21,Round,9.48,8.57,5.92,H,VVS2,Low,Mixed,1.87
R00072,4.74,Cushion,10.22,9.84,6.21,F,VVS1,Low,Brilliant,2.15
R00073,1.49,Round,7.21,6.25,3.87,E,VVS1,Low,Mixed,0.62
R00074,4.76,Oval,9.68,8.59,6.59,J,VS2,Medium,Step,1.75
R00075,2.42,Emerald,8,7.83,7.02,D,SI2,Low,Brilliant,1.19
R00076,3.24,Cushion,8.64,7.45,5.01,I,VS2,Low,Step,1.57
R00077,1.67,Princess,6.85,6.55,5.31,J,SI2,Low,Mixed,0.77
R00078,3.07,Oval,9.02,7.93,5.03,D,IF,Medium,Brilliant,1.11
R00079,4.03,Emerald,9.64,9.39,8.23,G,VVS2,Low,Mixed,1.64
R00080,2.84,Round,8.43,7.92,6.87,E,SI1,Low,Mixed,1.27
R00081,3.06,Cushion,8.23,7.94,6.72,H,SI1,Low,Step,1.2
R00082,4.61,Cushion,9.67,9.07,7.17,F,VVS2,High,Mixed,1.67
R00083,0.79,Pear,5.21,4.75,3.56,D,VS1,High,Brilliant,0.25
R00084,1.78,Pear,7.09,7.06,5.09,G,VS1,Medium,Brilliant,0.81
R00085,1.18,Oval,6.2,5.97,4.7,F,VS1,Low,Mixed,0.52
R00086,2.58,Pear,7.76,7.33,6.16,G,IF,Low,Brilliant,1.06
R00087,4.96,Pear,10.65,9.79,6.22,I,VVS2,Low,Step,2.07
R00088,4.22,Emerald,10.18,9.03,6.91,E,SI2,Low,Brilliant,1.77
R00089,1.6,Emerald,7.31,6.67,5.87,F,SI2,Low,Mixed,0.78
R00090,3.03,Pear,8.84,8.66,6.36,G,VS1,Low,Step,1.28
R00091,4.39,Cushion,10.31,9.13,6.53,I,SI2,Low,Step,1.91
R00092,2.11,Pear,7.86,7.65,6.84,F,SI2,High,Brilliant,0.85
R00093,4.41,Oval,9.78,9.08,6.69,D,VS1,Low,Step,1.64
R00094,1.89,Princess,7.61,7.21,6.17,I,SI1,Medium,Step,0.76
R00095,4.4,Cushion,9.37,8.06,6.36,D,SI2,High,Mixed,1.49
R00096,3.61,Princess,8.8,7.7,5.31,F,VVS2,Low,Step,1.5
R00097,0.98,Cushion,5.99,5.6,4.69,H,SI1,Low,Brilliant,0.42
R00098,2.64,Cushion,8.38,7.41,5.86,F,SI1,Low,Mixed,1.29
R00099,1.04,Cushion,6.02,5.43,4.22,J,VVS2,High,Brilliant,0.34
R00100,5,Princess,10.61,9.19,6.57,D,SI2,Low,Mixed,1.88
R00101,2.16,Princess,7.26,7.11,5.93,J,SI2,High,Brilliant,0.76
R00102,3.15,Emerald,8.65,8.18,6.43,J,VVS1,Medium,Mixed,1.13
R00103,0.76,Round,5.6,4.79,4.01,F,VVS2,Low,Mixed,0.32
R00104,2.25,Oval,7.56,7.32,6.32,F,SI2,Low,Step,0.87
R00105,4.85,Oval,9.95,9.76,8.21,J,SI1,High,Mixed,1.95
R00106,3.47,Pear,8.98,8.77,6.73,D,VS1,Medium,Step,1.65
R00107,3.46,Round,9.25,8.67,7.34,H,VS2,Low,Step,1.62
R00108,4.6,Oval,9.7,8.34,7.07,D,IF,Low,Step,1.97
R00109,4.98,Emerald,9.86,8.73,6.65,I,VS2,Low,Step,2.05
R00110,3.06,Princess,8.94,8.79,7,D,SI1,Medium,Step,1.06
R00111,1.32,Emerald,6.53,5.78,4.1,F,IF,Low,Step,0.49
R00112,1.6,Pear,7.49,7.43,6.3,D,IF,Medium,Step,0.64
R00113,1.44,Oval,6.4,5.98,3.71,F,SI2,Low,Brilliant,0.58
R00114,4.01,Round,9.63,8.59,7.69,I,SI2,Low,Brilliant,1.64
R00115,0.92,Emerald,5.69,5.51,4.28,G,VS2,Low,Brilliant,0.46
R00116,3.8,Pear,9.34,9.03,6.81,D,SI1,Low,Mixed,1.83
R00117,2.75,Round,8.36,8.31,5.14,G,SI1,Medium,Step,1.12
R00118,0.65,Emerald,4.78,4.5,2.79,F,VS1,Medium,Mixed,0.26
R00119,2.79,Pear,8.4,7.9,4.98,I,SI2,Low,Brilliant,1.11
R00120,2.32,Cushion,8.33,7.6,6.45,F,SI1,Low,Step,1.11
R00121,2.06,Emerald,7.29,7.21,4.47,F,SI2,Low,Brilliant,1.02
R00122,2.91,Cushion,8.65,8.08,5.65,J,SI1,Low,Brilliant,1.17
R00123,4.85,Round,10.26,9.26,7.16,F,SI2,Low,Mixed,2.15
R00124,2.03,Pear,7.86,7.36,6.2,I,SI1,High,Mixed,0.65
R00125,0.42,Princess,4.92,4.79,3.26,F,IF,Low,Brilliant,0.17
R00126,4.39,Pear,9.89,9,5.78,E,VS1,High,Step,1.75
R00127,2.43,Oval,7.72,6.92,4.83,E,SI2,Low,Mixed,0.92
R00128,0.53,Pear,4.44,4.07,2.96,D,VVS2,Low,Step,0.24
R00129,0.82,Pear,5.79,5.44,4.12,D,IF,Low,Brilliant,0.37
R00130,1.72,Cushion,6.9,6.01,4.07,E,VVS1,Low,Step,0.75
R00131,2.8,Round,8.19,7.65,6.12,G,IF,Low,Step,1.1
R00132,4.63,Cushion,10.36,9.7,7.49,D,VVS2,Medium,Brilliant,1.91
R00133,4.07,Cushion,9.7,9.46,8.29,H,VS1,Low,Mixed,2.01
R00134,0.67,Round,5.62,5.41,3.61,H,VS2,Low,Brilliant,0.28
R00135,4.56,Oval,9.8,9.4,7.95,E,VS2,Low,Brilliant,2.22
R00136,3.87,Pear,9.58,8.4,6.99,G,SI1,Low,Mixed,1.63
R00137,3.32,Cushion,9.44,8.48,7.56,I,VVS2,Low,Step,1.62
R00138,3.08,Round,8.58,7.39,5.46,I,SI2,Low,Brilliant,1.26
R00139,3.19,Pear,8.84,8.13,6.23,I,VVS1,Medium,Step,1.4
R00140,3.14,Emerald,8.79,8.73,6.42,D,VS2,Medium,Mixed,1.26
R00141,1.11,Princess,5.96,5.46,4,G,VS1,Medium,Step,0.46
R00142,3.49,Princess,8.65,8.17,5.72,F,SI1,Low,Mixed,1.44
R00143,4.83,Emerald,10.24,8.93,5.58,I,SI1,Low,Step,2.12
R00144,0.91,Emerald,6.02,5.19,3.98,I,SI2,Medium,Mixed,0.32
R00145,4.99,Oval,10.67,9.22,7.39,E,VVS2,Low,Step,2.21
R00146,1.2,Emerald,6.88,6.01,4.14,H,IF,Low,Mixed,0.46
R00147,1.88,Pear,7.67,6.67,4.76,J,VVS1,Low,Mixed,0.79
R00148,2.36,Cushion,7.9,7.52,5.05,E,VS2,Medium,Brilliant,0.87
R00149,1.75,Cushion,7.54,6.94,5.9,G,SI2,Medium,Step,0.69
R00150,3.96,Princess,9.5,8.67,5.62,D,SI1,Medium,Step,1.8
R00151,4.41,Princess,9.89,8.56,7.31,G,VS2,Low,Brilliant,1.83
R00152,4.21,Cushion,9.28,9.16,7.74,H,VVS2,High,Brilliant,1.58
R00153,2.11,Oval,7.28,6.43,4.47,E,IF,Medium,Step,0.84
R00154,4.61,Round,9.96,9.71,8.04,D,VVS2,Low,Brilliant,2.25
R00155,4.22,Round,9.74,9.34,7.08,D,VVS1,Medium,Step,1.89
R00156,3.3,Pear,9.06,7.79,6.63,H,VVS1,Low,Mixed,1.61
R00157,0.97,Pear,5.87,5.53,3.72,F,IF,Low,Mixed,0.4
R00158,2.86,Princess,8.8,8.15,4.94,F,SI1,Low,Brilliant,1.27
R00159,1.98,Princess,7.1,6.29,5.01,E,IF,Medium,Step,0.77
R00160,2.87,Oval,8.84,7.75,6.46,J,VVS1,High,Brilliant,1.04
R00161,3.67,Princess,9.7,8.3,5.48,H,VS1,Low,Mixed,1.72
R00162,2.52,Princess,7.7,7.29,5,D,SI2,Low,Step,1
R00163,2.35,Cushion,7.88,7.22,6.4,F,SI2,High,Mixed,0.86
R00164,1.55,Round,6.53,5.97,4.35,F,SI1,Low,Step,0.72
R00165,1.74,Princess,7.32,6.69,5.4,H,VS1,Low,Step,0.71
R00166,3.31,Emerald,9.23,7.92,6.35,E,IF,Low,Brilliant,1.31
R00167,4.29,Cushion,9.93,9.09,5.8,H,IF,Medium,Mixed,1.83
R00168,1.02,Cushion,5.99,5.42,3.97,F,SI1,Low,Step,0.45
R00169,1.47,Princess,6.44,6.18,4.63,I,VS1,High,Brilliant,0.6
R00170,4.98,Oval,10.03,9.9,7.4,I,VS1,Low,Brilliant,2.48
R00171,4.11,Princess,10.08,10.06,8.05,J,VVS1,Low,Mixed,1.69
R00172,3.63,Oval,9.42,8.25,5.84,E,SI2,Low,Step,1.73
R00173,0.42,Round,4.55,4.12,3.47,F,VS1,Low,Mixed,0.16
R00174,3.68,Round,9.29,8.97,7.6,G,VS1,Low,Mixed,1.73
R00175,2.73,Cushion,8.01,7.8,5.97,H,SI2,Low,Brilliant,1
R00176,4.21,Pear,9.71,8.7,5.64,F,SI2,Low,Brilliant,1.53
R00177,1.48,Emerald,6.97,6.5,4.14,E,VS2,Medium,Mixed,0.68
R00178,1.02,Round,6.2,5.94,4.64,D,SI1,Low,Mixed,0.39
R00179,1.54,Princess,6.64,6.21,4.88,I,VVS2,Low,Step,0.67
R00180,1.45,Cushion,7.1,6.47,4.76,G,VVS1,Low,Step,0.62
R00181,3.15,Princess,8.61,8.25,6.77,H,VS2,High,Brilliant,1.29
R00182,1.8,Pear,7.27,6.47,4.36,G,VVS1,Low,Brilliant,0.71
R00183,4.12,Cushion,10.05,9.63,6.33,F,VS1,Low,Brilliant,1.82
R00184,0.72,Cushion,5.27,4.84,3.25,H,SI2,Low,Mixed,0.34
R00185,3.46,Cushion,8.86,7.54,4.77,F,IF,Medium,Step,1.34
R00186,0.54,Princess,4.95,4.48,3.08,J,VS2,Low,Mixed,0.22
R00187,3.17,Oval,8.44,7.3,5.2,E,VS2,Low,Mixed,1.43
R00188,2.19,Pear,7.33,6.27,5.1,H,VVS1,Low,Step,0.92
R00189,4.68,Pear,9.85,8.95,7.03,H,VS1,Low,Mixed,2.05
R00190,2.95,Emerald,8.58,7.31,5.11,J,SI1,High,Mixed,1.08
R00191,0.43,Round,4.5,4.48,3.74,H,VS1,Low,Brilliant,0.19
R00192,2.76,Emerald,8.64,8.35,5.96,D,VVS1,Low,Brilliant,1.14
R00193,2.37,Emerald,7.92,7.22,4.77,I,IF,Medium,Mixed,0.82
R00194,0.95,Cushion,5.61,5.04,4.03,H,VVS2,Low,Mixed,0.35
R00195,1.97,Oval,7.79,7.46,5.92,F,VS2,Low,Step,0.83
R00196,1.36,Cushion,7.12,6.37,4.37,F,VS2,Medium,Mixed,0.56
R00197,1.59,Oval,6.62,6.3,4.5,F,IF,Medium,Step,0.55
R00198,4.79,Pear,9.69,9.58,7.63,F,VS2,Low,Mixed,2.17
R00199,1.58,Emerald,6.6,6.34,4.26,E,IF,Medium,Brilliant,0.66
R00200,2.24,Oval,8.07,6.98,5.8,G,SI1,High,Step,0.72
R00201,2.54,Emerald,7.89,7.85,5.47,H,VVS1,Low,Mixed,0.98
R00202,3.77,Round,9.69,8.29,7.27,J,VS1,Medium,Step,1.66
R00203,1.18,Round,6.59,6.46,4.44,F,VVS2,Low,Step,0.52
R00204,4.95,Round,10.27,9.49,8.37,F,VVS1,Low,Mixed,2.29
R00205,2.46,Oval,7.86,6.9,5.66,E,VS2,Low,Mixed,0.97
R00206,4.52,Cushion,10.25,9.5,5.95,F,VVS1,Low,Brilliant,1.64
R00207,1.53,Princess,6.65,6.4,5.67,I,VVS2,Low,Mixed,0.66
R00208,1.41,Emerald,6.9,6.35,4.11,J,VVS2,Low,Mixed,0.53
R00209,0.85,Cushion,6.1,5.45,4.27,I,VS2,High,Step,0.32
R00210,2.25,Emerald,7.91,7.28,5.54,J,VS2,Medium,Brilliant,0.81
R00211,2.77,Pear,8.45,7.64,6.69,E,VS2,Low,Mixed,1.22
R00212,1,Pear,5.83,5.41,3.43,G,SI2,Medium,Brilliant,0.41
R00213,2.43,Round,8.08,7.42,4.58,G,VVS2,Medium,Brilliant,1.03
R00214,3.81,Round,9.45,8.1,5.7,G,IF,Low,Step,1.9
R00215,2.22,Cushion,8.1,7.82,6.99,G,SI2,High,Step,0.81
R00216,2.07,Pear,7.83,7.43,5.66,G,VS2,Medium,Brilliant,0.9
R00217,3.72,Cushion,9.02,7.67,4.65,H,VS1,Low,Brilliant,1.53
R00218,1.46,Emerald,6.65,5.93,5.23,G,VS2,Medium,Brilliant,0.65
R00219,1.43,Emerald,6.33,5.94,4.36,D,VS1,Medium,Step,0.64
R00220,1.4,Emerald,6.43,6.3,3.89,H,VVS2,High,Mixed,0.54
R00221,3.11,Cushion,8.93,8.02,5.54,F,VVS2,High,Brilliant,1.16
R00222,2.92,Princess,8.67,8.33,5.44,I,SI1,Low,Step,1.23
R00223,3.99,Oval,9.34,8.52,5.49,J,VVS1,Low,Step,1.71
R00224,4.33,Oval,9.42,8.66,5.35,G,VVS1,High,Step,1.54
R00225,1.26,Round,6.63,6.55,5.59,F,VS1,Low,Mixed,0.51
R00226,3.14,Cushion,8.33,7.17,6.03,E,SI2,Medium,Step,1.21
R00227,1.72,Cushion,7.6,6.7,4.4,E,SI1,Low,Mixed,0.61
R00228,3.61,Princess,9.1,8.06,5.61,F,VVS2,Low,Step,1.57
R00229,2.71,Oval,8.36,7.23,6.47,F,VVS2,Medium,Step,1.14
R00230,0.51,Cushion,5.16,4.96,3,F,VVS1,High,Brilliant,0.18
R00231,1.85,Cushion,7.25,7.07,5.3,I,SI1,High,Mixed,0.68
R00232,2.61,Pear,7.93,7.69,5,I,IF,Low,Mixed,1.19
R00233,0.46,Emerald,4.98,4.94,3.95,E,IF,Low,Mixed,0.21
R00234,1.01,Cushion,5.74,5.27,3.26,I,VS1,Medium,Brilliant,0.38
R00235,0.33,Pear,4.2,3.58,2.72,J,SI1,Low,Mixed,0.15
R00236,2.32,Pear,8.38,7.35,6.43,F,SI2,Low,Step,1.07
R00237,1.56,Princess,6.86,6.21,4.48,I,SI2,Low,Brilliant,0.62
R00238,3.37,Emerald,9.35,9.01,5.66,D,SI1,Low,Brilliant,1.47
R00239,0.69,Oval,5.65,5.35,3.74,E,SI2,Medium,Mixed,0.25
R00240,4.47,Round,9.86,8.45,5.26,E,SI2,Medium,Step,1.79
R00241,0.37,Pear,4.01,3.5,2.96,E,VS2,High,Step,0.14
R00242,3.48,Pear,9.13,8.29,6.81,I,VVS2,High,Brilliant,1.1
R00243,0.76,Princess,5.21,4.49,3.51,D,SI1,High,Step,0.28
R00244,3.98,Emerald,9.46,8.36,6.4,G,IF,Low,Mixed,1.63
R00245,1.69,Emerald,6.89,5.93,4.03,G,VVS2,Medium,Step,0.65
R00246,0.8,Cushion,5.08,4.55,3.22,G,VS2,Low,Mixed,0.39
R00247,2.71,Cushion,7.97,6.88,5.27,D,VVS2,Low,Step,1.2
R00248,2.12,Cushion,7.29,7.18,6.26,E,VVS1,Low,Step,1.02
R00249,1.72,Princess,7.18,6.17,4.51,F,VVS1,Low,Mixed,0.68
R00250,3.24,Pear,8.97,7.89,4.99,G,SI2,Low,Step,1.46
R00251,2.37,Emerald,7.93,7.72,6.14,E,VS1,Low,Step,1.05
R00252,1.13,Oval,6.15,5.52,4.53,F,VS1,Low,Step,0.46
R00253,4.14,Pear,9.53,8.26,6.35,D,SI1,High,Step,1.62
R00254,4.73,Cushion,9.78,9.48,8.05,I,VS1,Medium,Brilliant,1.8
R00255,3.28,Pear,8.66,8.22,6.7,G,VS2,Low,Step,1.38
R00256,2.81,Pear,8.89,8.72,6.33,H,SI1,Medium,Brilliant,1.23
R00257,0.81,Emerald,5.34,5.07,3.3,I,VS1,Low,Step,0.3
R00258,4.84,Emerald,10.08,8.58,5.81,H,VVS1,Medium,Step,1.88
R00259,2.06,Round,7.6,7.23,5.84,F,VS1,Low,Brilliant,1.03
R00260,0.85,Princess,6.12,5.33,3.7,G,IF,Medium,Step,0.34
R00261,3.69,Emerald,9.22,7.93,4.86,D,SI1,Low,Brilliant,1.38
R00262,4.67,Oval,10.27,9.52,7.29,J,VS1,Low,Mixed,1.77
R00263,1.17,Cushion,6.46,5.91,3.6,G,IF,Medium,Mixed,0.47
R00264,1.31,Oval,6.34,6.06,5.08,F,VVS2,Low,Brilliant,0.5
R00265,2.45,Cushion,7.85,7.69,5.83,H,IF,Low,Step,1.06
R00266,1.95,Round,7.45,6.53,5.24,I,VVS1,Low,Step,0.78
R00267,0.85,Pear,5.49,4.82,3.89,G,VS1,Low,Brilliant,0.35
R00268,2.59,Oval,8.28,8.18,7.19,E,VVS2,Low,Step,1.15
R00269,3.21,Pear,9.22,9.15,6.82,I,VS1,Medium,Step,1.14
R00270,3.52,Oval,9.04,8.82,6.59,F,IF,Low,Step,1.45
R00271,1.36,Round,6.44,6.23,4.8,H,IF,Medium,Step,0.51
R00272,3.94,Oval,9.8,8.87,7.51,G,IF,Medium,Mixed,1.68
R00273,4.2,Round,9.93,8.88,7.99,G,SI2,Low,Brilliant,1.62
R00274,3.95,Cushion,9.22,8.96,6.96,E,VS2,Medium,Brilliant,1.55
R00275,3.99,Princess,9.83,9.54,7.36,I,VVS2,Low,Step,1.68
R00276,2.99,Cushion,9.1,8.44,7.34,D,VVS2,Low,Mixed,1.25
R00277,0.9,Cushion,6.16,5.47,4.45,E,VS2,Medium,Mixed,0.35
R00278,1.56,Princess,6.87,6.31,4.99,I,VVS2,Low,Step,0.64
R00279,4.77,Emerald,9.93,8.44,7.02,I,SI1,Low,Step,1.72
R00280,4.3,Princess,10.05,9.14,8.14,F,VS2,Low,Mixed,1.99
R00281,0.91,Cushion,6.17,5.97,5.18,D,IF,Low,Brilliant,0.42
R00282,2.37,Princess,7.5,7.45,4.92,E,SI2,High,Step,0.71
R00283,0.74,Princess,5.29,4.56,3.65,I,SI1,Low,Brilliant,0.32
R00284,2.32,Emerald,7.53,6.51,4.32,G,IF,Low,Brilliant,1.11
R00285,3.57,Round,9.49,9.47,6.88,I,SI2,Low,Brilliant,1.7
R00286,0.79,Emerald,5.41,4.84,3.46,E,IF,Medium,Mixed,0.29
R00287,2.95,Cushion,8.72,7.63,5.38,H,SI1,Medium,Step,1.34
R00288,4.34,Cushion,9.37,8.11,6.7,F,SI2,Medium,Brilliant,1.78
R00289,1.46,Emerald,6.95,6.17,4.81,D,SI2,Medium,Mixed,0.52
R00290,4.42,Oval,9.55,8.99,5.9,G,VS1,Low,Brilliant,2.15
R00291,1.43,Oval,6.9,5.94,5.15,G,SI2,High,Mixed,0.47
R00292,2.28,Round,7.94,6.95,5.15,F,VVS1,Low,Brilliant,0.92
R00293,4.64,Emerald,10.46,9.52,6.53,G,IF,Low,Mixed,1.98
R00294,2.82,Oval,8.59,7.66,5.31,H,VVS2,High,Step,0.84
R00295,3.06,Oval,8.97,8.5,6.74,D,VVS1,Medium,Brilliant,1.16
R00296,4.65,Round,9.63,9.07,5.59,D,SI1,Medium,Brilliant,1.68
R00297,3.6,Princess,8.86,8.8,6.66,E,SI1,Medium,Step,1.49
R00298,3.74,Emerald,8.93,8.8,6.16,H,SI1,Low,Brilliant,1.81
R00299,2.63,Round,8.29,7.12,6.11,H,SI1,Low,Mixed,1.25
R00300,0.84,Cushion,5.9,5.02,4.31,E,VVS1,Low,Brilliant,0.38
R00301,2.9,Princess,8.97,8.62,6.26,F,SI2,Low,Brilliant,1.12
R00302,2.99,Cushion,8.26,7.86,4.84,D,VS1,Medium,Step,1.06
R00303,3.94,Princess,9.29,8.02,5.91,I,VS2,Low,Brilliant,1.68
R00304,2.48,Oval,8.21,7.59,6.31,E,IF,Medium,Step,1.01
R00305,0.41,Emerald,4.5,4.25,3.43,G,SI2,High,Mixed,0.18
R00306,3.72,Oval,8.9,8.27,5.55,I,VVS2,High,Brilliant,1.12
R00307,0.51,Pear,4.53,4.43,3.21,D,VS2,Low,Brilliant,0.21
R00308,3.29,Princess,8.82,8.28,5.12,J,VVS2,High,Step,1.26
R00309,3.59,Pear,9.42,8.46,5.77,D,VVS1,High,Brilliant,1.51
R00310,1.07,Princess,6.1,5.56,4.23,J,IF,Low,Brilliant,0.47
R00311,1.04,Oval,6.27,6.11,4.94,D,SI1,Low,Brilliant,0.42
R00312,4.85,Cushion,10.05,8.62,5.94,H,SI1,Low,Mixed,2.21
R00313,1.47,Oval,6.78,6.58,4.22,E,VVS1,Low,Step,0.61
R00314,2.05,Round,7.75,7.34,5.69,E,SI1,High,Step,0.86
R00315,4.1,Oval,9.2,8.99,7.58,H,VS1,Low,Mixed,1.85
R00316,2.16,Cushion,7.29,6.94,4.52,E,IF,High,Mixed,0.86
R00317,3.21,Cushion,8.6,7.69,5.56,E,VS1,Low,Brilliant,1.53
R00318,3.32,Emerald,9.25,8.21,7.37,F,VS1,Medium,Mixed,1.12
R00319,3.97,Oval,9.34,8.73,6.08,D,SI2,Low,Step,1.83
R00320,0.58,Emerald,5.5,5.11,4.24,E,VVS2,High,Mixed,0.24
R00321,4.14,Cushion,10.05,8.63,7.76,F,SI2,Low,Brilliant,1.59
R00322,1.13,Pear,6.34,6.16,4.99,H,VVS1,Low,Mixed,0.45
R00323,4.76,Round,10.43,10.13,9.03,D,VVS1,Low,Mixed,2.03
R00324,1.33,Oval,6.62,5.63,4.93,J,SI2,Medium,Step,0.57
R00325,0.58,Round,4.65,4.44,2.85,F,SI1,Medium,Mixed,0.22
R00326,2.16,Emerald,7.36,6.59,4.22,G,SI1,Medium,Step,0.91
R00327,1.12,Oval,6.7,6.39,5.61,G,VVS2,Low,Mixed,0.44
R00328,3.54,Pear,8.77,8.41,7.44,D,VVS1,Low,Mixed,1.29
R00329,1.8,Emerald,7.61,7.17,5.68,D,VVS1,High,Step,0.76
R00330,4.92,Princess,9.87,9.7,6.08,G,IF,Medium,Step,1.77
